name,current_price,original_price
NipNap Diaper Junior 5 36's,500.0,999.0
Uncover Argan Hydrating Moisturiser,1470.0,2100.0
3 Uncover Vitamin C sheet Face Masks,945.0,1050.0
3 Uncover Green Tea Sheet Face masks,945.0,1050.0
3 Uncover Aloe Vera Sheet Face Masks,945.0,1050.0
Uncover I Am Spotless pimple patch,990.0,1100.0
Uncover Aloe Invisible Sunscreen 80ml,2880.0,3200.0
Maybelline Fit Me Primer Matte PO NU Inter,1085.0,1550.0
Maybelline Fit Me Setting Spray 60Ml As,1218.0,1740.0
Maybelline Fit Me Primer Lumi SMO NU Inter,1085.0,1550.0
